Voronoi subdivision ImageDEV
   Nombre des Vertexes 459
   VORONOI COORDS :
     vertex 95.055557 169.055557 
     vertex 128.375000 172.750000 
     vertex 95.756096 168.609756 
     vertex 141.621490 321.789734 
     vertex 187.860336 325.488831 
     vertex 143.628784 182.212128 
     vertex 142.958328 188.916672 
     vertex 278.586212 337.482758 
     vertex 288.054932 352.931702 
     vertex 47.380951 157.587296 
     vertex 75.617645 229.852936 
     vertex 67.333336 205.000000 
     vertex -2703.019775 901.509827 
     vertex -2143.717773 919.440613 
     vertex 200.307083 281.925201 
     vertex 229.765762 290.334747 
     vertex 218.662796 286.244171 
     vertex 262.200012 317.000000 
     vertex 92.250000 135.500000 
     vertex 65.827065 144.060150 
     vertex 273.795990 310.309998 
     vertex 326.772186 241.053299 
     vertex 333.651428 232.972931 
     vertex 266.090363 132.131393 
     vertex 250.631577 152.421051 
     vertex 137.481873 324.563690 
     vertex 106.838493 339.182556 
     vertex 232.712769 255.510635 
     vertex 235.157990 251.163574 
     vertex 202.659134 96.958801 
     vertex 201.460678 97.033707 
     vertex 174.204224 227.542252 
     vertex 167.708954 237.881668 
     vertex 138.329269 170.353653 
     vertex 138.346161 170.346161 
     vertex 94.500000 124.833336 
     vertex 154.317200 111.220428 
     vertex 152.841034 108.112717 
     vertex 183.000000 64.250000 
     vertex 175.469070 67.011337 
     vertex 86.445656 182.717392 
     vertex 100.610291 198.455887 
     vertex 132.928574 228.714279 
     vertex 126.785713 204.142853 
     vertex 61.726131 282.640717 
     vertex 88.500000 135.500000 
     vertex 92.603226 100.983871 
     vertex 72.264709 134.088242 
     vertex 76.820000 122.699997 
     vertex 127.582191 70.321915 
     vertex 130.648682 80.636459 
     vertex 241.785721 311.642853 
     vertex 254.456528 273.630432 
     vertex 262.166656 264.141022 
     vertex 276.472961 263.040527 
     vertex 147.818176 179.818176 
     vertex 146.928574 196.857147 
     vertex 129.111115 192.492065 
     vertex 131.417725 193.810120 
     vertex 322.884094 297.430786 
     vertex 334.574371 315.615692 
     vertex 173.452835 37.698112 
     vertex 172.754242 25.822035 
     vertex 132.617645 180.147064 
     vertex 133.062500 192.875000 
     vertex 132.596771 193.274200 
     vertex 126.428574 190.000000 
     vertex 128.735291 191.794113 
     vertex 953.044800 1324.849121 
     vertex 1459.577026 1459.577026 
     vertex 253.528625 380.868317 
     vertex 273.353973 373.902649 
     vertex 395.052643 553.157898 
     vertex 130.014282 227.823807 
     vertex 121.105263 198.210526 
     vertex 119.760872 200.630432 
     vertex 122.900002 181.766663 
     vertex 142.500000 133.500000 
     vertex 140.571106 130.606674 
     vertex 117.034653 117.321785 
     vertex 168.524292 65.066803 
     vertex 159.481125 66.789307 
     vertex 87.000000 219.750000 
     vertex 86.099998 221.699997 
     vertex 120.571426 180.214279 
     vertex 330.841278 414.770721 
     vertex 346.631470 407.894379 
     vertex 312.754547 357.409088 
     vertex 303.583344 351.677094 
     vertex 1073.629028 122.622810 
     vertex 590.264709 216.000000 
     vertex 117.602562 201.807693 
     vertex 132.231339 197.335815 
     vertex 10.827726 349.324524 
     vertex 341.527252 374.474365 
     vertex 323.916656 361.666656 
     vertex 302.111115 332.777771 
     vertex 313.147064 318.294128 
     vertex 313.598206 323.031250 
     vertex 259.291046 35.067165 
     vertex 218.381149 67.795082 
     vertex 178.571426 47.204082 
     vertex -410.421051 -594.157898 
     vertex -31.333334 -151.888885 
     vertex 123.058136 140.895355 
     vertex 77.785713 135.928574 
     vertex 79.090912 149.034088 
     vertex 80.590912 143.409088 
     vertex 163.260864 49.391304 
     vertex 161.000000 46.000000 
     vertex 94.487732 88.953987 
     vertex 121.425926 28.438272 
     vertex 119.720261 22.411575 
     vertex 392.980103 326.048126 
     vertex 353.051453 329.745239 
     vertex 278.980621 306.185852 
     vertex 310.891907 313.783783 
     vertex 217.944229 67.844315 
     vertex 94.839622 239.179245 
     vertex 57.907406 289.914459 
     vertex 192.763153 59.368420 
     vertex 156.750000 80.750000 
     vertex 311.250000 340.500000 
     vertex 304.500000 349.500000 
     vertex 180.473160 391.989929 
     vertex 237.305084 378.213562 
     vertex 228.218811 371.853180 
     vertex 147.829544 388.090912 
     vertex 203.551346 58.632862 
     vertex 238.023468 88.948357 
     vertex 119.391304 178.739136 
     vertex 338.177673 336.981140 
     vertex 291.823517 353.147064 
     vertex 302.500000 375.000000 
     vertex 307.815216 385.630432 
     vertex 320.066681 246.000000 
     vertex 271.600006 80.199997 
     vertex 408.088257 321.579529 
     vertex 321.947754 173.465561 
     vertex 308.395447 150.125473 
     vertex 365.899994 216.000000 
     vertex 173.173462 75.275513 
     vertex 183.000000 86.777779 
     vertex 142.500000 165.500000 
     vertex 171.964523 85.551613 
     vertex 154.339279 111.375000 
     vertex 210.113449 122.710083 
     vertex 209.275864 124.850578 
     vertex 245.692307 93.153847 
     vertex 191.018143 207.188568 
     vertex 249.142853 156.142853 
     vertex 306.914917 257.604492 
     vertex 65.949638 202.924454 
     vertex 138.767853 181.464279 
     vertex 224.258240 335.741760 
     vertex 79.895020 190.421707 
     vertex 83.871727 185.374344 
     vertex 117.250000 190.500000 
     vertex 91.500000 217.500000 
     vertex 35.196358 208.925095 
     vertex 165.638412 242.121338 
     vertex 156.500000 240.500000 
     vertex 115.833336 254.055557 
     vertex 65.392090 136.665466 
     vertex 287.000000 383.000000 
     vertex 292.540009 388.540009 
     vertex 181.044907 402.853302 
     vertex 302.500000 374.500000 
     vertex 178.594421 420.324036 
     vertex 296.943939 475.437225 
     vertex 291.612915 464.182800 
     vertex 203.321915 489.472595 
     vertex 203.438858 489.604797 
     vertex 254.045456 241.681824 
     vertex 255.338715 241.774200 
     vertex 261.986847 263.947357 
     vertex 256.346161 250.884613 
     vertex 259.269226 253.076920 
     vertex 107.802673 210.627594 
     vertex 110.055702 219.961334 
     vertex 209.946426 443.535706 
     vertex 212.636887 443.750946 
     vertex 227.616470 370.583374 
     vertex 256.229675 439.375610 
     vertex 256.682678 438.566620 
     vertex 972.590027 -1760.420166 
     vertex 980.925720 -1348.065918 
     vertex 196.007324 14.626100 
     vertex 965.371460 -2830.742920 
     vertex 118.125000 190.000000 
     vertex 154.772720 177.772720 
     vertex 261.078949 125.710526 
     vertex 257.817078 122.914635 
     vertex 260.362640 209.445053 
     vertex 242.224777 410.683472 
     vertex 274.500000 406.500000 
     vertex 288.559814 401.143860 
     vertex 311.830505 437.225983 
     vertex 317.337097 435.583679 
     vertex 165.905746 243.417847 
     vertex 165.892853 456.035706 
     vertex 164.440292 459.231354 
     vertex 189.782608 456.978271 
     vertex 266.885986 510.058868 
     vertex 296.000000 476.785706 
     vertex 261.167114 500.471344 
     vertex 363.324005 512.776001 
     vertex 591.269470 1243.078003 
     vertex 107.301170 106.318710 
     vertex 230.427567 458.577179 
     vertex 224.478500 118.747314 
     vertex 230.873459 171.527603 
     vertex 273.154633 81.432991 
     vertex 1018.869263 -503.263855 
     vertex 449.785706 -19.542856 
     vertex 244.982758 254.672409 
     vertex 259.376007 205.059998 
     vertex 270.428558 177.428574 
     vertex 278.868988 466.542786 
     vertex 272.139801 430.102020 
     vertex 177.825363 250.796646 
     vertex 227.093643 261.832153 
     vertex 197.047379 178.907852 
     vertex 188.227280 179.227280 
     vertex 193.813965 182.305664 
     vertex 107.227272 79.045456 
     vertex 45.461327 105.662064 
     vertex 68.223076 108.371796 
     vertex -733.187988 -983.993286 
     vertex 220.500000 447.048401 
     vertex 284.778137 358.870850 
     vertex 296.071442 373.928558 
     vertex 346.738892 407.828827 
     vertex 321.872955 425.573486 
     vertex 162.419144 424.772247 
     vertex 191.640427 509.830719 
     vertex 227.434387 475.538452 
     vertex 296.000000 580.148132 
     vertex 429.239075 910.778442 
     vertex 163.378052 50.914635 
     vertex 155.055557 56.462963 
     vertex -630.290894 1071.767578 
     vertex 63.085930 461.057434 
     vertex 143.225540 471.445892 
     vertex 175.403107 511.284790 
     vertex 117.595474 17.942211 
     vertex 116.500000 190.500000 
     vertex 114.617645 192.852936 
     vertex 200.480713 135.991104 
     vertex 153.627060 114.366333 
     vertex 359.671692 407.020508 
     vertex 1296.451660 925.239258 
     vertex 311.403229 386.693542 
     vertex 323.861664 361.522858 
     vertex 108.467743 217.500000 
     vertex 321.920013 332.739990 
     vertex 262.100006 246.000000 
     vertex 198.908447 256.612671 
     vertex 291.475983 131.734756 
     vertex 154.128906 421.687500 
     vertex 287.531250 220.312500 
     vertex 220.500000 425.166656 
     vertex 208.562943 402.618866 
   END OF VORONOI COORDS :
